living_space,price_per_unit,bathroom_number,property_type,furnished,state,built_year,latitude,land_space,premium,bedroom_number,price,address,longitude,tenure,district,price_usd,price_per_unit_usd
820.0,96996,5,Detached House,Fully Furnished,Phuket,,7.963273,616.0,0,4,59750000,"Sri Sunthon, Thalang, Phuket",98.347374,,Sri Sunthon,1757353.0,2853.0
340.0,20326,4,Detached House,Fully Furnished,Phuket,,7.939245,1471.0,0,4,29900000,"Kammala, Kathu, Phuket",98.278173,,Kammala,879412.0,598.0
35.0,92495,1,Apartment,Fully Furnished,Phuket,,7.774218,,0,,3237330,"Rawai, Muang Phuket, Phuket",98.318782,,Rawai,95216.0,2720.0
280.0,52153,5,Detached House,,Phuket,,7.9877691,955.0,0,4,49806750,"Choeng Thale, Thalang, Phuket",98.2983739,,Choeng Thale,1464904.0,1534.0
200.0,22540,2,Detached House,Partially Furnished,Phuket,,7.984425,244.00000000000003,0,3,5500000,"Sri Sunthon, Thalang, Phuket",98.366357,,Sri Sunthon,161765.0,663.0
385.0,33133,3,Detached House,Unfurnished,Phuket,,7.784806,656.0,0,3,21735600,"Rawai, Muang Phuket, Phuket",98.314167,,Rawai,639282.0,974.0
328.0,60365,5,Detached House,Fully Furnished,Phuket,,7.7968629,328.0,0,4,19800000,"Rawai, Muang Phuket, Phuket",98.3276782,,Rawai,582353.0,1775.0
130.0,35185,3,Detached House,Fully Furnished,Phuket,,7.8125455,270.0,0,3,9500000,"Rawai, Muang Phuket, Phuket",98.3317741,,Rawai,279412.0,1035.0
181.0,60493,4,Detached House,Unfurnished,Phuket,,7.9860111,162.0,0,3,9800000,"Sri Sunthon, Thalang, Phuket",98.3242978,,Sri Sunthon,288235.0,1779.0
170.0,37500,5,Detached House,Partially Furnished,Phuket,,7.931561,280.0,0,4,10500000,"Kathu, Kathu, Phuket",98.320325,,Kathu,308824.0,1103.0
72.0,81944,2,Condo,Fully Furnished,Phuket,2012.0,7.817934,,0,2,5900000,"ปฏัก ปฏัก, Karon, Muang Phuket, Phuket",98.312717,,Karon,173529.0,2410.0
134.0,76791,2,Condo,Fully Furnished,Phuket,2012.0,7.800743,,0,2,10290000,"14/5 Wiset, Rawai, Muang Phuket, Phuket",98.337407,Freehold,Rawai,302647.0,2259.0
290.0,40020,3,Detached House,Unfurnished,Phuket,,8.029712,450.0,0,3,18009000,"Thep Krasattri, Thalang, Phuket",98.3103542,,Thep Krasattri,529676.0,1177.0
148.0,42128,2,Detached House,Unfurnished,Phuket,,7.7944202,249.0,0,2,10490000,"Rawai, Muang Phuket, Phuket",98.3278162,,Rawai,308529.0,1239.0
500.0,26923,3,Detached House,Partially Furnished,Phuket,,7.940147,1300.0,0,3,35000000,"Kammala, Kathu, Phuket",98.281542,,Kammala,1029412.0,792.0
265.0,33181,3,Detached House,Fully Furnished,Phuket,,7.984041,616.0,0,3,20440000,"Choeng Thale, Thalang, Phuket",98.296581,,Choeng Thale,601176.0,976.0
85.0,100000,1,Apartment,Fully Furnished,Phuket,,8.005467,,0,1,8500000,"Choeng Thale, Thalang, Phuket",98.295869,,Choeng Thale,250000.0,2941.0
115.0,33144,2,Detached House,Fully Furnished,Phuket,,8.015446,442.0,0,2,14650000,"Pa Khlok, Thalang, Phuket",98.392306,,Pa Khlok,430882.0,975.0
150.0,136666,3,Townhouse,,Phuket,,7.8788902,124.0,0,2,20500000,"Patong, Kathu, Phuket",98.2928534,,Patong,602941.0,4020.0
78.0,75000,1,Condo,Fully Furnished,Phuket,2012.0,7.976032,,0,1,5850000,"25/3 Hadsurin, Choeng Thale, Thalang, Phuket",98.282733,Freehold,Choeng Thale,172059.0,2206.0
450.0,25976,3,Detached House,Fully Furnished,Phuket,,7.980486,768.0000000000001,0,3,19950000,"Choeng Thale, Thalang, Phuket",98.284565,,Choeng Thale,586765.0,764.0
300.0,65950,3,Detached House,Unfurnished,Phuket,,7.793198,241.0,0,3,15894000,"Rawai, Muang Phuket, Phuket",98.3142482,,Rawai,467471.0,1940.0
200.0,106000,3,Detached House,Fully Furnished,Phuket,,7.798164,250.0,0,3,26500000,"Rawai, Muang Phuket, Phuket",98.33609,,Rawai,779412.0,3118.0
106.0,33827,3,Detached House,Fully Furnished,Phuket,,8.019697,371.0,0,3,12550000,"Thep Krasattri, Thalang, Phuket",98.3151961,,Thep Krasattri,369118.0,995.0
170.0,50000,4,Townhouse,Fully Furnished,Phuket,2014.0,8.0902854,90.0,0,2,8500000,"ถนน เทพกระษัตรี, Kammala, Kathu, Phuket",98.3401364,,Kammala,250000.0,1471.0
203.0,53750,3,Detached House,Fully Furnished,Phuket,,7.8027976,240.0,0,5,12900000,"Rawai, Muang Phuket, Phuket",98.3306857,,Rawai,379412.0,1581.0
66.0,83333,1,Condo,Unfurnished,Phuket,2012.0,7.817934,,0,1,5500000,"ปฏัก ปฏัก, Karon, Muang Phuket, Phuket",98.312717,,Karon,161765.0,2451.0
338.0,59255,4,Detached House,Unfurnished,Phuket,,8.0054511,270.0,0,3,15999000,"Sri Sunthon, Thalang, Phuket",98.3206322,,Sri Sunthon,470559.0,1743.0
132.0,70967,2,Detached House,Fully Furnished,Phuket,,7.797877,155.0,0,2,11000000,"Rawai, Muang Phuket, Phuket",98.33668,,Rawai,323529.0,2087.0
24.000000000000004,112500,1,Condo,Unfurnished,Phuket,2022.0,7.780462,,0,,2700000,"Soi Suanwat, Rawai, Muang Phuket, Phuket",98.316451,Freehold,Rawai,79412.0,3309.0
361.0,65899,3,Detached House,Unfurnished,Phuket,,7.999729,322.0,0,3,21219734,"Choeng Thale, Thalang, Phuket",98.309086,,Choeng Thale,624110.0,1938.0
110.0,129202,2,Apartment,,Phuket,,7.800243,,0,2,14212275,"Rawai, Muang Phuket, Phuket",98.336727,,Rawai,418008.0,3800.0
34.0,124705,1,Condo,,Phuket,2019.0,7.947589,,0,,4240000,"63/1 Sirinart Road, Patong, Kathu, Phuket",98.271956,Freehold,Patong,124706.0,3668.0
290.0,64615,4,Detached House,Unfurnished,Phuket,,8.0634729,650.0,0,4,42000000,"Sa Khu, Thalang, Phuket",98.2831541,,Sa Khu,1235294.0,1900.0
248.0,121505,2,Detached House,Fully Furnished,Phuket,,7.9847714,506.00000000000006,0,2,61482000,"Pa Khlok, Thalang, Phuket",98.4210194,,Pa Khlok,1808294.0,3574.0
137.0,52554,2,Condo,Fully Furnished,Phuket,2012.0,7.908562,,0,2,7200000,"นาใน Samkong, Kammala, Kathu, Phuket",98.355406,Freehold,Kammala,211765.0,1546.0
86.0,43478,2,Detached House,,Phuket,,8.0561743,207.0,0,2,9000000,"Thep Krasattri, Thalang, Phuket",98.3224478,,Thep Krasattri,264706.0,1279.0
24.000000000000004,114583,1,Condo,Unfurnished,Phuket,2019.0,7.896310937532187,,0,,2750000,"Vichitsongkram Road, Kathu, Kathu, Phuket",98.35070775622904,Freehold,Kathu,80882.0,3370.0
245.0,56504,3,Detached House,Fully Furnished,Phuket,,8.0017951,246.0,0,3,13900000,"Sri Sunthon, Thalang, Phuket",98.321701,,Sri Sunthon,408824.0,1662.0
48.00000000000001,109630,1,Condo,Partially Furnished,Phuket,2012.0,7.9027973,,0,1,5262285,"พระบารมี พระบารมี, Patong, Kathu, Phuket",98.3080182,,Patong,154773.0,3224.0
55.0,53636,2,Townhouse,,Phuket,,7.956045,84.0,0,3,2950000,"Ko Kaeo, Muang Phuket, Phuket",98.371552,,Ko Kaeo,86765.0,1578.0
28.0,120345,1,Condo,Unfurnished,Phuket,2022.0,7.979949250487842,,0,,3369660,"66/2 Soi Hua Tiao, Choeng Thale, Thalang, Phuket",98.288185097334,Freehold,Choeng Thale,99108.0,3540.0
54.0,76666,1,Detached House,,Phuket,,8.015873,90.0,0,1,6900000,"Pa Khlok, Thalang, Phuket",98.391993,,Pa Khlok,202941.0,2255.0
115.0,27943,2,Detached House,Fully Furnished,Phuket,,8.015446,564.0,0,2,15760000,"Pa Khlok, Thalang, Phuket",98.392306,,Pa Khlok,463529.0,822.0
170.0,14621,3,Detached House,Fully Furnished,Phuket,,8.013315,396.0,0,4,5790000,"Pa Khlok, Thalang, Phuket",98.400579,,Pa Khlok,170294.0,430.0
275.0,44044,4,Detached House,Fully Furnished,Phuket,,8.003166,445.0,0,4,19600000,"Sri Sunthon, Thalang, Phuket",98.321086,,Sri Sunthon,576471.0,1295.0
508.00000000000006,92592,5,Detached House,Fully Furnished,Phuket,,7.8795088662229,540.0,0,5,50000000,"Patong, Kathu, Phuket",98.298304352117,,Patong,1470588.0,2723.0
155.0,146341,2,Detached House,Unfurnished,Phuket,2020.0,8.136234,82.0,0,2,12000000,"Thepkasattri Road, Mai Khao, Thalang, Phuket",98.337696,Freehold,Mai Khao,352941.0,4304.0
1009.0,49464,6,Detached House,Fully Furnished,Phuket,,8.0211603,1213.0,0,6,60000000,"Choeng Thale, Thalang, Phuket",98.2925877,,Choeng Thale,1764706.0,1455.0
42.0,49880,1,Condo,Fully Furnished,Phuket,2012.0,7.902159,,0,,2095000,"นาใน Haad Patong, Kammala, Kathu, Phuket",98.308177,Freehold,Kammala,61618.0,1467.0
320.0,50774,4,Detached House,Fully Furnished,Phuket,,7.829206,378.0,0,4,19192800,"Chalong, Muang Phuket, Phuket",98.333126,,Chalong,564494.0,1493.0
37.0,142731,1,Condo,Fully Furnished,Phuket,2021.0,8.034256,,0,1,5281073,"Soi Layan 4, Choeng Thale, Thalang, Phuket",98.292068,Freehold,Choeng Thale,155326.0,4198.0
57.0,76612,1,Condo,Fully Furnished,Phuket,2012.0,7.939621,,0,1,4366905,"10/33 Kamala, Kammala, Kathu, Phuket",98.292125,,Kammala,128438.0,2253.0
110.0,122727,2,Condo,Fully Furnished,Phuket,2012.0,7.861106,,0,3,13500000,"เจ้าฟ้านอก Chao fah nok, Wichit, Muang Phuket, Phuket",98.35309,Freehold,Wichit,397059.0,3610.0
118.0,53188,1,Condo,Fully Furnished,Phuket,2012.0,7.939621,,0,1,6276260,"10/33 Kamala, Kammala, Kathu, Phuket",98.292125,,Kammala,184596.0,1564.0
240.0,165000,2,Detached House,Unfurnished,Phuket,,7.9764034,224.0,0,3,36960000,"Choeng Thale, Thalang, Phuket",98.2819472,,Choeng Thale,1087059.0,4853.0
230.0,207000,3,Detached House,Unfurnished,Phuket,,7.874501,135.0,0,3,27945000,"Patong, Kathu, Phuket",98.289574,,Patong,821912.0,6088.0
335.0,36328,4,Detached House,Fully Furnished,Phuket,,7.792251,512.0,0,3,18600000,"Rawai, Muang Phuket, Phuket",98.321777,,Rawai,547059.0,1068.0
45.0,128054,1,Apartment,,Phuket,,7.800243,,0,1,5762432,"Rawai, Muang Phuket, Phuket",98.336727,,Rawai,169483.0,3766.0
201.0,43892,4,Detached House,,Phuket,,8.0410493,693.0,0,4,30417500,"Choeng Thale, Thalang, Phuket",98.2963637,,Choeng Thale,894632.0,1291.0
29.0,98333,1,Detached House,Fully Furnished,Phuket,2022.0,7.891229,60.0,0,1,5900000,"Hasip Pee Road, Patong, Kathu, Phuket",98.308621,Leasehold,Patong,173529.0,2892.0
105.0,41136,2,Apartment,Fully Furnished,Phuket,,7.936815,,0,2,4319350,"Kammala, Kathu, Phuket",98.295789,,Kammala,127040.0,1210.0
131.0,50119,3,Detached House,,Phuket,,7.9444443,417.0,0,3,20900000,"Kammala, Kathu, Phuket",98.2924552,,Kammala,614706.0,1474.0
162.0,34935,2,Detached House,Unfurnished,Phuket,,8.0217197,541.0,0,3,18900000,"Thep Krasattri, Thalang, Phuket",98.3220615,,Thep Krasattri,555882.0,1028.0
287.0,30028,3,Detached House,,Phuket,,8.0180232,691.0,0,3,20750000,"Thep Krasattri, Thalang, Phuket",98.3221388,,Thep Krasattri,610294.0,883.0
95.0,42105,3,Apartment,Fully Furnished,Phuket,,7.9486192,,0,2,4000000,"Kammala, Kathu, Phuket",98.2918682,,Kammala,117647.0,1238.0
35.0,116619,1,Apartment,,Phuket,,7.800243,,0,,4081676,"Rawai, Muang Phuket, Phuket",98.336727,,Rawai,120049.0,3430.0
329.0,49079,3,Detached House,Fully Furnished,Phuket,,8.000194,489.0,0,3,24000000,"Sri Sunthon, Thalang, Phuket",98.320333,,Sri Sunthon,705882.0,1444.0
115.0,26916,2,Detached House,Fully Furnished,Phuket,,8.015446,600.0,0,2,16150000,"Pa Khlok, Thalang, Phuket",98.392306,,Pa Khlok,475000.0,792.0
200.0,42187,3,Detached House,,Phuket,,8.018355,320.0,0,3,13500000,"Choeng Thale, Thalang, Phuket",98.310285,,Choeng Thale,397059.0,1241.0
82.0,57787,2,Condo,Fully Furnished,Phuket,2012.0,7.939621,,0,2,4738600,"10/33 Kamala, Kammala, Kathu, Phuket",98.292125,,Kammala,139371.0,1700.0
78.0,71447,2,Condo,Fully Furnished,Phuket,2012.0,7.939621,,0,2,5572883,"10/33 Kamala, Kammala, Kathu, Phuket",98.292125,,Kammala,163908.0,2101.0
94.0,89680,1,Condo,Fully Furnished,Phuket,2012.0,7.976032,,0,1,8430000,"25/3 Hadsurin, Choeng Thale, Thalang, Phuket",98.282733,Freehold,Choeng Thale,247941.0,2638.0
29.0,98333,1,Detached House,Fully Furnished,Phuket,2022.0,7.891229,60.0,0,1,5900000,"Hasip Pee Road, Patong, Kathu, Phuket",98.308621,Leasehold,Patong,173529.0,2892.0
195.0,100000,2,Apartment,Fully Furnished,Phuket,,7.8133328,,0,2,19500000,"Karon, Muang Phuket, Phuket",98.3016004,,Karon,573529.0,2941.0
41.0,217053,1,Apartment,Fully Furnished,Phuket,2018.0,7.894849,,0,,8899200,"33/1 Taweewong Road, Patong, Kathu, Phuket",98.295598,Freehold,Patong,261741.0,6384.0
88.0,97610,1,Condo,Fully Furnished,Phuket,2012.0,7.9027973,,0,1,8589700,"พระบารมี พระบารมี, Patong, Kathu, Phuket",98.3080182,,Patong,252638.0,2871.0
32.0,87812,1,Condo,Fully Furnished,Phuket,2012.0,7.976032,,0,,2810000,"25/3 Hadsurin, Choeng Thale, Thalang, Phuket",98.282733,Freehold,Choeng Thale,82647.0,2583.0
700.0,90662,6,Detached House,,Phuket,,7.990414,1842.0,0,5,167000000,"Pa Khlok, Thalang, Phuket",98.417917,,Pa Khlok,4911765.0,2667.0
28.0,90000,1,Condo,Fully Furnished,Phuket,2013.0,7.90159,,0,,2520000,"Soi Hongyok Utis Yaowarat Road, Talat Yai, Muang Phuket, Phuket",98.378572,Freehold,Talat Yai,74118.0,2647.0
25.0,130283,1,Condo,Fully Furnished,Phuket,2021.0,8.034256,,0,,3257088,"Soi Layan 4, Choeng Thale, Thalang, Phuket",98.292068,Freehold,Choeng Thale,95797.0,3832.0
109.0,50534,3,Detached House,,Phuket,,7.9444443,374.0,0,2,18900000,"Kammala, Kathu, Phuket",98.2924552,,Kammala,555882.0,1486.0
390.0,35702,4,Detached House,Unfurnished,Phuket,,8.029712,722.0,0,4,25777480,"Thep Krasattri, Thalang, Phuket",98.3103542,,Thep Krasattri,758161.0,1050.0
25.0,132247,1,Condo,Fully Furnished,Phuket,2021.0,8.034256,,0,,3306177,"Soi Layan 4, Choeng Thale, Thalang, Phuket",98.292068,Freehold,Choeng Thale,97240.0,3890.0
85.0,100552,1,Condo,Fully Furnished,Phuket,2012.0,7.9027973,,0,1,8547000,"พระบารมี พระบารมี, Patong, Kathu, Phuket",98.3080182,,Patong,251382.0,2957.0
36.0,97000,1,Condo,,Phuket,2021.0,7.769664,,0,1,3492000,"Thai Highway-4030 Road, Rawai, Muang Phuket, Phuket",98.308717,Freehold,Rawai,102706.0,2853.0
280.0,51265,3,Detached House,Fully Furnished,Phuket,,7.829206,324.0,0,3,16610000,"Chalong, Muang Phuket, Phuket",98.333126,,Chalong,488529.0,1508.0
332.0,54216,3,Townhouse,Fully Furnished,Phuket,2012.0,7.964698,150.0,0,3,18000000,"22/1 Thepkrasatti, Ko Kaeo, Muang Phuket, Phuket",98.385007,Freehold,Ko Kaeo,529412.0,1595.0
34.0,129694,1,Condo,,Phuket,2019.0,7.947589,,0,,4409600,"63/1 Sirinart Road, Patong, Kathu, Phuket",98.271956,Freehold,Patong,129694.0,3815.0
146.0,20631,3,Detached House,Fully Furnished,Phuket,,7.832144,475.00000000000006,0,4,9800000,"Chalong, Muang Phuket, Phuket",98.32533,,Chalong,288235.0,607.0
240.0,165000,2,Detached House,Unfurnished,Phuket,,7.9764034,224.0,0,3,36960000,"Choeng Thale, Thalang, Phuket",98.2819472,,Choeng Thale,1087059.0,4853.0
230.0,22495,2,Detached House,Partially Furnished,Phuket,,7.9288714,200.0,0,3,4499000,"Kathu, Kathu, Phuket",98.3325827,,Kathu,132324.0,662.0
49.99999999999999,68000,1,Apartment,,Phuket,,7.8797907,,0,,3400000,"Patong, Kathu, Phuket",98.2924879,,Patong,100000.0,2000.0
330.0,18777,4,Detached House,Fully Furnished,Phuket,,8.0913904,900.0,0,3,16900000,"Thep Krasattri, Thalang, Phuket",98.3604381,,Thep Krasattri,497059.0,552.0
51.0,209000,1,Apartment,Fully Furnished,Phuket,,7.8853267,,0,1,10659000,"Patong, Kathu, Phuket",98.2847522,,Patong,313500.0,6147.0
79.0,44000,2,Detached House,Partially Furnished,Phuket,,7.8129443,200.0,0,2,8800000,"Rawai, Muang Phuket, Phuket",98.3303945,,Rawai,258824.0,1294.0
600.0,25000,5,Detached House,Fully Furnished,Phuket,,7.7858185284652,1599.9999999999998,0,5,40000000,"Rawai, Muang Phuket, Phuket",98.326593112253,,Rawai,1176471.0,735.0
361.0,67555,3,Detached House,Unfurnished,Phuket,,7.999729,312.0,0,3,21077174,"Choeng Thale, Thalang, Phuket",98.309086,,Choeng Thale,619917.0,1987.0
696.0,21362,14,Detached House,Fully Furnished,Phuket,,7.949774,1731.9999999999998,0,10,37000000,"Kammala, Kathu, Phuket",98.284646,,Kammala,1088235.0,628.0
235.0,13463,3,Detached House,Fully Furnished,Phuket,,8.07602,1181.0,0,3,15900000,"Sa Khu, Thalang, Phuket",98.296011,,Sa Khu,467647.0,396.0
300.0,33506,3,Detached House,Fully Furnished,Phuket,,8.00209,385.0,0,3,12900000,"Choeng Thale, Thalang, Phuket",98.314445,,Choeng Thale,379412.0,985.0
175.0,20000,2,Townhouse,Fully Furnished,Phuket,,7.950269,90.0,0,2,3500000,"Kammala, Kathu, Phuket",98.291819,,Kammala,102941.0,588.0
241.0,290456,5,Apartment,Fully Furnished,Phuket,,7.8132109,,0,3,70000000,"Karon, Muang Phuket, Phuket",98.2975817,,Karon,2058824.0,8543.0
150.0,47342,3,Detached House,,Phuket,,8.008356,207.0,0,3,9800000,"Sri Sunthon, Thalang, Phuket",98.319716,,Sri Sunthon,288235.0,1392.0
36.0,106444,1,Condo,,Phuket,2021.0,7.769664,,0,1,3832000,"Thai Highway-4030 Road, Rawai, Muang Phuket, Phuket",98.308717,Freehold,Rawai,112706.0,3131.0
328.0,60365,5,Detached House,Fully Furnished,Phuket,,7.7968629,328.0,0,4,19800000,"Rawai, Muang Phuket, Phuket",98.3276782,,Rawai,582353.0,1775.0
102.0,251104,2,Apartment,Fully Furnished,Phuket,,7.8853267,,0,2,25612701,"Patong, Kathu, Phuket",98.2847522,,Patong,753315.0,7385.0
43.0,97948,1,Apartment,,Phuket,,7.946446,,0,1,4211792,"Kammala, Kathu, Phuket",98.278873,,Kammala,123876.0,2881.0
72.0,91666,1,Condo,Fully Furnished,Phuket,2012.0,7.817934,,0,2,6600000,"ปฏัก ปฏัก, Karon, Muang Phuket, Phuket",98.312717,,Karon,194118.0,2696.0
178.0,42995,2,Detached House,,Phuket,,7.786206,207.0,0,2,8900000,"Rawai, Muang Phuket, Phuket",98.314785,,Rawai,261765.0,1265.0
107.0,123982,2,Townhouse,Fully Furnished,Phuket,,7.9807656,159.0,0,2,13266150,"Choeng Thale, Thalang, Phuket",98.2832322,,Choeng Thale,390181.0,3647.0
34.0,124705,1,Condo,,Phuket,2019.0,7.947589,,0,,4240000,"63/1 Sirinart Road, Patong, Kathu, Phuket",98.271956,Freehold,Patong,124706.0,3668.0
118.0,55093,1,Condo,Fully Furnished,Phuket,2012.0,7.939621,,0,1,6501000,"10/33 Kamala, Kammala, Kathu, Phuket",98.292125,,Kammala,191206.0,1620.0
328.0,60365,5,Detached House,Fully Furnished,Phuket,,7.7968629,328.0,0,4,19800000,"Rawai, Muang Phuket, Phuket",98.3276782,,Rawai,582353.0,1775.0
110.0,129202,2,Apartment,,Phuket,,7.800243,,0,2,14212275,"Rawai, Muang Phuket, Phuket",98.336727,,Rawai,418008.0,3800.0
255.0,63212,4,Detached House,Unfurnished,Phuket,,8.0020954,193.0,0,3,12200000,"Sri Sunthon, Thalang, Phuket",98.3227525,,Sri Sunthon,358824.0,1859.0
115.0,36585,2,Detached House,Fully Furnished,Phuket,,8.015446,376.0,0,2,13756000,"Pa Khlok, Thalang, Phuket",98.392306,,Pa Khlok,404588.0,1076.0
35.0,127725,1,Apartment,,Phuket,,7.800243,,0,,4470407,"Rawai, Muang Phuket, Phuket",98.336727,,Rawai,131483.0,3757.0
